"nama_sekolah","npsn","bp","status","pd","guru","kecamatan","wilayah","periode_data"
"SDN Petojo Utara 05","20104667","SD","Negeri","290","17","Gambir","Kota Jakarta Pusat","202012"
"SDN PISANGAN TIMUR 11","20103376","SD","Negeri","338","17","Pulo Gadung","Kota Jakarta Timur","202012"
"SDN Pondok Labu 13 Pg.","20106156","SD","Negeri","380","17","Cilandak","Kota Jakarta Selatan","202012"
"SDN PULOGADUNG 05","20103392","SD","Negeri","382","17","Pulo Gadung","Kota Jakarta Timur","202012"
"SDN Pulogebang 09 Pg.","20103340","SD","Negeri","392","17","Cakung","Kota Jakarta Timur","202012"
"SDN Rambutan 05 Pg.","20103359","SD","Negeri","382","17","Ciracas","Kota Jakarta Timur","202012"
"SDN Rawajati 03 Pagi","20102150","SD","Negeri","408","17","Pancoran","Kota Jakarta Selatan","202012"
"SDN Rawaterate 02 Pt.","20108780","SD","Negeri","370","17","Cakung","Kota Jakarta Timur","202012"
"SDN Sukapura 01 Pg.","20100593","SD","Negeri","392","17","Cilincing","Kota Jakarta Utara","202012"
"SDN Susukan 09 Pg.","20109126","SD","Negeri","400","17","Ciracas","Kota Jakarta Timur","202012"
"SDN UJUNG MENTENG 04 PAGI","20104195","SD","Negeri","382","17","Cakung","Kota Jakarta Timur","202012"
"SDN Utan Kayu Selatan 05","20108382","SD","Negeri","400","17","Matraman","Kota Jakarta Timur","202012"
"SDN Utan Kayu Selatan 21","20108422","SD","Negeri","371","17","Matraman","Kota Jakarta Timur","202012"
"SD NEGERI CIPINANG CEMPEDAK 04","20108523","SD","Negeri","359","16","Jatinegara","Kota Jakarta Timur","202012"
"SD NEGERI TANJUNG DUREN UTARA 02 PG","20105545","SD","Negeri","328","16","Grogol Petamburan","Kota Jakarta Barat","202012"
"SDN KEBON BARU 05","20102299","SD","Negeri","297","16","Tebet","Kota Jakarta Selatan","202012"
"SDN PASAR BARU 01","20104644","SD","Negeri","334","16","Sawah Besar","Kota Jakarta Pusat","202012"
"SD N PELA MAMPANG 01","20106108","SD","Negeri","321","16","Mampang Prapatan","Kota Jakarta Selatan","202012"
"SD NEGERI BINTARO 09 PAGI","20103136","SD","Negeri","382","16","Pesanggrahan","Kota Jakarta Selatan","202012"
"SD NEGERI CENGKARENG BARAT 16 PG","20105160","SD","Negeri","381","16","Cengkareng","Kota Jakarta Barat","202012"
"SD NEGERI CENGKARENG TIMUR 15 PG","20105178","SD","Negeri","356","16","Cengkareng","Kota Jakarta Barat","202012"
"SD NEGERI CIPETE SELATAN 01","20105851","SD","Negeri","353","16","Cilandak","Kota Jakarta Selatan","202012"
"SD NEGERI CIPETE SELATAN 05 PAGI","20105855","SD","Negeri","392","16","Cilandak","Kota Jakarta Selatan","202012"
"SD NEGERI CIPINANG BESAR SELATAN 04","20108401","SD","Negeri","344","16","Jatinegara","Kota Jakarta Timur","202012"
"SD NEGERI CIPINANG BESAR SELATAN 15 PG","20108445","SD","Negeri","309","16","Jatinegara","Kota Jakarta Timur","202012"
"SD NEGERI CIPINANG BESAR SELATAN 20","20108450","SD","Negeri","324","16","Jatinegara","Kota Jakarta Timur","202012"
"SD NEGERI CIPINANG BESAR UTARA 10 PAGI","20108461","SD","Negeri","369","16","Jatinegara","Kota Jakarta Timur","202012"
"SD NEGERI CIPINANG BESAR UTARA 11 PG","20108462","SD","Negeri","366","16","Jatinegara","Kota Jakarta Timur","202012"
"SD NEGERI CIPINANG CEMPEDAK 07","20108526","SD","Negeri","338","16","Jatinegara","Kota Jakarta Timur","202012"
"SD NEGERI DURI KEPA 01 PG","20105186","SD","Negeri","427","16","Kebon Jeruk","Kota Jakarta Barat","202012"
"SD NEGERI GALUR 03","20104527","SD","Negeri","274","16","Johar Baru","Kota Jakarta Pusat","202012"
"SD NEGERI GUNUNG 05","20105927","SD","Negeri","377","16","Kebayoran Baru","Kota Jakarta Selatan","202012"
"SD NEGERI JATI 05 PAGI","20104174","SD","Negeri","356","16","Pulo Gadung","Kota Jakarta Timur","202012"
"SD NEGERI JATI PULO 08 PAGI","20101942","SD","Negeri","358","16","Palmerah","Kota Jakarta Barat","202012"
"SD NEGERI JELAMBAR BARU 01 PG","20101961","SD","Negeri","359","16","Grogol Petamburan","Kota Jakarta Barat","202012"
"SD NEGERI JELAMBAR BARU 05 PG","20101957","SD","Negeri","372","16","Grogol Petamburan","Kota Jakarta Barat","202012"
"SDN Cipinang Melayu 03 Pg.","20104331","SD","Negeri","413","20","Makasar","Kota Jakarta Timur","202012"
"SDN Cipinang Melayu 09 Pg.","20104365","SD","Negeri","445","20","Makasar","Kota Jakarta Timur","202012"
"SDN Cipinang Melayu 10 Pg.","20104364","SD","Negeri","363","20","Makasar","Kota Jakarta Timur","202012"
"SDN Ciracas 01","20108696","SD","Negeri","492","20","Ciracas","Kota Jakarta Timur","202012"
"SDN DUKUH 04","20104148","SD","Negeri","472","20","Kramat Jati","Kota Jakarta Timur","202012"
"SDN Dukuh 09 PAGI","20104143","SD","Negeri","414","20","Kramat Jati","Kota Jakarta Timur","202012"
"SDN Duren Sawit 10 Pagi","20108565","SD","Negeri","422","20","Duren Sawit","Kota Jakarta Timur","202012"
"SDN Grogol Utara 16 Pagi","20105919","SD","Negeri","500","20","Kebayoran Lama","Kota Jakarta Selatan","202012"
"SDN Guntur 03 Pg.","20105922","SD","Negeri","465","20","Setia Budi","Kota Jakarta Selatan","202012"
"SDN Jagakarsa 06 Pg.","20105934","SD","Negeri","461","20","Jagakarsa","Kota Jakarta Selatan","202012"
"SDN Johar Baru 29 Pg.","20104559","SD","Negeri","458","20","Johar Baru","Kota Jakarta Pusat","202012"
"SDN KALIBARU 03","20100997","SD","Negeri","477","20","Cilincing","Kota Jakarta Utara","202012"
"SDN KEBAYORAN LAMA SELATAN 05 PAGI","20105962","SD","Negeri","539","20","Kebayoran Lama","Kota Jakarta Selatan","202012"
"SDN Kebayoran Lama Selatan 09 Pagi","20105964","SD","Negeri","377","20","Kebayoran Lama","Kota Jakarta Selatan","202012"
"SDN Kelapa Dua Wetan 03 Pg.","20109194","SD","Negeri","508","20","Ciracas","Kota Jakarta Timur","202012"
"SDN Kelapa Gading Timur 01","20104863","SD","Negeri","465","20","Kelapa Gading","Kota Jakarta Utara","202012"
"SDN Kramat 01","20100545","SD","Negeri","323","20","Senen","Kota Jakarta Pusat","202012"
"SDN Kramat Jati 07","20104221","SD","Negeri","495","20","Kramat Jati","Kota Jakarta Timur","202012"
"SDN Kramat Pela 07","20102322","SD","Negeri","413","20","Kebayoran Baru","Kota Jakarta Selatan","202012"
"SDN MENTENG 01 PAGI","20104640","SD","Negeri","400","20","Menteng","Kota Jakarta Pusat","202012"
"SDN Pademangan Timur 01 Pg.","20101044","SD","Negeri","444","20","Pademangan","Kota Jakarta Utara","202012"
"SDN Pekayon 09","20108981","SD","Negeri","499","20","Pasar Rebo","Kota Jakarta Timur","202012"
"SDN Penggilingan 01","20104212","SD","Negeri","556","20","Cakung","Kota Jakarta Timur","202012"
"SDN PONDOK KELAPA 09 PAGI","20108646","SD","Negeri","485","20","Duren Sawit","Kota Jakarta Timur","202012"
"SDN RAGUNAN 12","20106174","SD","Negeri","439","20","Pasar Minggu","Kota Jakarta Selatan","202012"
"SDN RAMBUTAN 06 PAGI","20103358","SD","Negeri","434","20","Ciracas","Kota Jakarta Timur","202012"
"SDN Rawa Badak Utara 19 Pg.","20100671","SD","Negeri","500","20","Koja","Kota Jakarta Utara","202012"
"SDN Srengseng Sawah 11 Pg.","20106195","SD","Negeri","425","20","Jagakarsa","Kota Jakarta Selatan","202012"
"SDN Sunter Agung 05 Pg.","20104929","SD","Negeri","464","20","Tanjung Priok","Kota Jakarta Utara","202012"
"SDN Sunter Agung 07","20104930","SD","Negeri","423","20","Tanjung Priok","Kota Jakarta Utara","202012"
"SDN TEBET TIMUR 01 PAGI","20102259","SD","Negeri","259","20","Tebet","Kota Jakarta Selatan","202012"
"SDN Tegal Alur 17","20105576","SD","Negeri","547","20","Kali Deres","Kota Jakarta Barat","202012"
"SDN Tugu Utara 19 Pg.","20100622","SD","Negeri","430","20","Koja","Kota Jakarta Utara","202012"
"SD NEGERI PEJATEN BARAT 11","20106090","SD","Negeri","477","19","Pasar Minggu","Kota Jakarta Selatan","202012"
"SD NEGERI ANGKE 01 PAGI","20105139","SD","Negeri","450","19","Tambora","Kota Jakarta Barat","202012"
"SD NEGERI BALIMESTER 06 PG","20108976","SD","Negeri","550","19","Jatinegara","Kota Jakarta Timur","202012"
"SD NEGERI BIDARACINA 05 PG","20108389","SD","Negeri","415","19","Jatinegara","Kota Jakarta Timur","202012"
"SD NEGERI CAKUNG TIMUR 03 PAGI","20104276","SD","Negeri","399","19","Cakung","Kota Jakarta Timur","202012"
"SD NEGERI CAKUNG TIMUR 05 PAGI","20104274","SD","Negeri","442","19","Cakung","Kota Jakarta Timur","202012"
"SD NEGERI CILANDAK BARAT 08","20105834","SD","Negeri","395","19","Cilandak","Kota Jakarta Selatan","202012"
"SD NEGERI KAMPUNG MELAYU 01 PAGI","20108574","SD","Negeri","431","19","Jatinegara","Kota Jakarta Timur","202012"
"SD NEGERI KEBON BARU 03 PAGI","20102300","SD","Negeri","342","19","Tebet","Kota Jakarta Selatan","202012"
"SD NEGERI KEBON KOSONG 02","20104592","SD","Negeri","472","19","Kemayoran","Kota Jakarta Pusat","202012"
"SD NEGERI KELAPA DUA 03 PG","20101984","SD","Negeri","426","19","Kebon Jeruk","Kota Jakarta Barat","202012"
"SD NEGERI MALAKA SARI 02 PG","20108613","SD","Negeri","406","19","Duren Sawit","Kota Jakarta Timur","202012"
"SD NEGERI MANGGARAI 01 PAGI","20102283","SD","Negeri","352","19","Tebet","Kota Jakarta Selatan","202012"
"SD NEGERI MERUYA SELATAN 06 PG","20105408","SD","Negeri","388","19","Kembangan","Kota Jakarta Barat","202012"
"SD NEGERI PEGANGSAAN 01 PG","20104653","SD","Negeri","366","19","Menteng","Kota Jakarta Pusat","202012"
"SD NEGERI PESANGGRAHAN 01","20106120","SD","Negeri","448","19","Pesanggrahan","Kota Jakarta Selatan","202012"
"SD NEGERI PETUKANGAN UTARA 09 PG","20106144","SD","Negeri","447","19","Pesanggrahan","Kota Jakarta Selatan","202012"
"SD NEGERI PETUKANGAN UTARA 10 PG","20102184","SD","Negeri","503","19","Pesanggrahan","Kota Jakarta Selatan","202012"
"SD NEGERI PULOGEBANG 24 PAGI","20103346","SD","Negeri","420","19","Cakung","Kota Jakarta Timur","202012"
"SD NEGERI RAWATERATE 03 PAGI","20108781","SD","Negeri","367","19","Cakung","Kota Jakarta Timur","202012"
"SD NEGERI SUKABUMI SELATAN 07 PAGI","20105518","SD","Negeri","434","19","Kebon Jeruk","Kota Jakarta Barat","202012"
"SD NEGERI TANAH TINGGI 05","20104701","SD","Negeri","339","19","Johar Baru","Kota Jakarta Pusat","202012"
"SD NEGERI TUGU UTARA 11","20100577","SD","Negeri","483","19","Koja","Kota Jakarta Utara","202012"
"SDN Ancol 01 Pg.","20104841","SD","Negeri","521","19","Pademangan","Kota Jakarta Utara","202012"
"SDN Bale Kambang 03 Pg.","20104315","SD","Negeri","415","19","Kramat Jati","Kota Jakarta Timur","202012"
"SDN Cijantung 05 Pg.","20108816","SD","Negeri","444","19","Pasar Rebo","Kota Jakarta Timur","202012"
"SDN Cipinang Melayu 05 Pg.","20104348","SD","Negeri","456","19","Makasar","Kota Jakarta Timur","202012"
"SDN Ciracas 11 Pg.","20104351","SD","Negeri","444","19","Ciracas","Kota Jakarta Timur","202012"
"SDN Ciracas 15 Pg.","20104155","SD","Negeri","443","19","Ciracas","Kota Jakarta Timur","202012"
"SDN Duren Sawit 08 Pg.","20108563","SD","Negeri","372","19","Duren Sawit","Kota Jakarta Timur","202012"
"SDN Gondangdia 01 Pg.","20104529","SD","Negeri","345","19","Menteng","Kota Jakarta Pusat","202012"
"SDN GUNUNG SAHARI SELATAN 01","20104533","SD","Negeri","381","19","Kemayoran","Kota Jakarta Pusat","202012"
"SDN Jagakarsa 05 Pg.","20105933","SD","Negeri","444","19","Jagakarsa","Kota Jakarta Selatan","202012"
"SDN JATI 06","20104173","SD","Negeri","483","19","Pulo Gadung","Kota Jakarta Timur","202012"
"SDN Kartini 01 Pg.","20104584","SD","Negeri","396","19","Sawah Besar","Kota Jakarta Pusat","202012"
"SDN Kayu Putih 01 Pg.","20109170","SD","Negeri","487","19","Pulo Gadung","Kota Jakarta Timur","202012"
"SDN KEBON BAWANG 09 PETANG","20104860","SD","Negeri","382","19","Tanjung Priok","Kota Jakarta Utara","202012"
